Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for?,Hardest V Grade ever climbed ,Max pull up reps,max push ups reps
1,172.0,61.0,174.0,2,9,22,60
1,178.0,73.4,190.0,1,5,15,40
1,175.0,68.0,175.0,4,5,15,20
1,190.5,78.0,190.5,2,6,15,25
1,187.96,77.1,195.58,1,8,25,30
1,178.0,79.0,181.0,0,5,17,70
0,170.0,51.0,168.0,3,6,15,30
1,165.0,68.0,178.0,6,12,10,30
1,177.0,71.0,177.0,0,4,15,20
1,183.0,80.0,183.0,1,6,15,40
0,178.0,61.0,170.0,1,2,3,10
1,175.0,72.0,182.0,0,0,18,40
1,168.0,59.0,168.0,0,6,12,20
1,187.96,77.5643,192.0,3,6,18,18
1,185.0,66.0,188.0,3,9,30,50
1,184.0,59.0,190.0,2,3,4,20
1,178.0,81.6,178.0,0,4,18,50
1,178.0,66.0,180.0,3,7,20,20
1,169.0,79.0,162.0,0,3,28,95
1,185.0,70.3,196.0,1,6,20,35
1,179.0,73.0,181.0,0,3,18,70
1,180.0,72.5,160.0,1,7,25,100
1,183.0,86.0,188.0,2,6,13,40
1,170.0,85.0,168.0,1,1,8,10
1,183.0,79.0,181.0,2,8,19,50
1,182.9,80.0,180.0,2,7,20,60
1,180.0,92.0,190.0,1,4,8,25
1,180.0,70.0,183.0,3,8,25,30
0,169.0,57.0,170.0,0,2,4,25
1,194.0,80.0,196.0,0,2,12,45
1,186.0,78.0,190.0,4,7,12,15
1,171.0,65.0,168.0,0,2,20,35
1,172.0,61.0,180.0,0,7,35,14
1,183.0,79.0,191.0,3,8,20,33
1,162.0,56.0,162.0,0,4,12,35
1,182.0,83.0,196.0,4,13,80,50
0,178.0,64.0,179.0,0,5,9,10
1,177.0,64.0,192.0,2,9,30,40
0,162.5,61.0,168.0,2,8,12,40
1,177.0,74.0,183.0,4,9,25,69
1,180.0,78.0,181.0,6,9,30,30
1,180.0,82.0,180.0,1,5,10,30
1,174.0,75.0,178.0,1,4,12,45
1,180.0,70.0,183.0,4,10,28,35
1,173.0,64.0,186.0,6,11,37,80
1,162.0,53.0,161.0,1,4,20,40
1,185.0,100.0,187.0,1,4,20,45
1,185.0,65.0,183.0,1,6,6,15
1,170.0,68.0,190.0,1,4,15,50
1,175.26,70.3,174.0,0,6,17,40
0,167.0,70.0,165.0,4,10,12,20
0,162.56,56.699,162.56,6,5,5,20
1,175.0,63.5,185.0,2,7,30,30
1,178.0,66.0,188.0,2,5,16,35
0,167.0,73.0,176.0,0,1,0,25
1,183.0,67.0,176.0,1,5,18,40
1,186.0,70.0,190.0,1,5,15,30
1,174.0,60.0,179.0,0,5,10,30
1,179.0,66.22,179.0,2,7,22,50
0,165.0,53.0,164.0,2,3,3,10
1,180.0,86.0,180.0,1,4,10,30
1,184.0,87.0,185.0,1,3,13,50
1,188.0,65.0,190.0,1,3,12,50
1,180.0,76.0,187.0,1,5,22,50
1,180.0,72.0,180.0,2,7,20,27
1,167.0,62.5,172.0,1,6,25,20
1,177.8,58.967,185.928,2,8,13,4
1,180.0,59.0,185.0,2,4,11,25
1,178.0,72.0,177.0,1,3,15,30
1,175.0,77.0,179.0,1,5,15,25
1,188.0,82.0,186.0,0,3,9,50
0,171.0,68.0,167.0,2,4,6,15
1,186.0,80.0,188.0,6,8,15,30
1,185.0,78.0,185.0,4,7,12,25
1,180.0,72.5,185.0,5,7,14,25
1,175.0,65.5,177.0,2,7,15,30
1,183.0,73.0,188.0,1,9,55,118
1,179.0,63.0,181.0,0,3,15,16
1,179.0,63.0,181.0,0,3,15,16
1,184.0,78.0,173.0,3,5,13,50
1,188.0,78.0,193.0,0,2,12,50
1,170.0,65.0,173.0,0,4,30,30
1,168.5,76.0,178.0,0,4,30,75
1,173.0,70.0,174.0,1,5,18,55
1,173.0,76.0,168.0,3,3,12,20
1,190.5,70.3,190.0,1,6,20,30
1,170.0,73.66,168.0,0,5,18,30
0,176.0,56.0,169.0,1,4,12,15
1,183.0,70.0,184.0,0,5,15,75
0,170.0,56.0,171.0,0,5,15,30
1,175.0,65.0,174.0,3,9,33,52
1,165.0,68.0,175.0,3,8,24,50
1,188.0,77.0,191.0,0,3,7,25
1,155.0,69.0,178.0,0,4,7,17
1,181.0,75.0,190.0,1,4,19,50
1,178.0,65.0,180.0,0,4,12,33
1,185.0,74.0,185.0,6,6,15,35
1,185.0,75.0,187.0,1,6,17,27
1,175.0,72.0,177.0,1,7,20,50
1,178.0,76.0,175.0,1,7,10,10
1,175.0,63.0,176.0,1,5,15,25
1,164.0,65.0,168.0,1,5,10,30
1,180.0,63.5,175.0,1,4,12,20
1,180.0,70.0,180.0,2,10,30,40
1,173.0,67.0,176.0,0,4,13,25
1,180.0,72.0,185.0,4,6,18,20
1,170.0,70.0,170.0,0,4,15,35
1,170.0,66.0,170.0,0,0,25,35
1,188.0,80.0,191.0,1,6,15,43
1,167.64,60.328,169.0,0,4,5,20
1,178.0,77.0,178.0,0,5,13,30
1,183.0,68.3,186.0,0,4,15,50
1,173.0,60.0,175.0,2,9,18,20
0,169.0,65.0,168.0,6,4,1,15
1,175.0,57.0,175.0,1,10,23,35
1,178.0,60.0,178.0,4,7,25,30
1,180.0,73.0,183.0,3,7,20,25
1,185.0,82.0,188.0,0,4,15,50
1,179.0,82.0,182.0,1,4,9,20
1,185.3,87.0,188.0,0,4,14,35
1,178.0,68.0,178.0,0,4,12,20
1,182.0,70.0,190.5,3,6,25,30
1,170.0,68.0,170.0,1,3,6,10
1,192.0,75.0,198.0,0,5,15,20
0,160.0,45.0,161.0,2,7,20,30
1,178.0,70.0,187.0,6,11,30,70
0,172.0,62.0,175.0,6,4,0,0
1,173.0,73.0,182.0,0,4,9,50
1,172.72,55.0,177.8,0,3,17,43
1,110.0,60.0,110.0,1,5,30,150
1,180.0,68.0,182.0,1,5,15,25
1,182.0,76.0,200.0,2,8,27,120
1,186.0,74.0,191.0,5,8,15,25
1,187.0,80.0,182.0,2,1,5,10
0,165.0,52.0,172.0,6,7,15,12
1,182.0,78.0,193.0,0,4,18,30
1,190.0,77.0,200.0,4,7,15,20
1,182.0,78.0,188.0,1,6,20,40
