sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
1,6,6,15.0,40.0,175.26,74.84268,176.53
1,6,6,13.0,56.0,144.78,65.77084000000000,149.86
1,7,2,14.0,26.0,182.88,81.64656,182.88
1,0,6,17.0,38.0,180.34,78.471416,187.96
1,13,6,19.0,19.0,175.26,62.595696,185.42000000000000
1,0,6,30.0,37.0,182.88,70.760352,185.42000000000000
1,1,6,14.0,32.0,181.61,74.84268,185.42000000000000
1,7,3,16.0,39.0,182.88,80.28578400000000,185.42000000000000
1,10,6,21.0,26.0,170.18,63.50288,175.26
0,4,2,10.0,24.0,162.56,51.255896,164.465
1,4,5,16.0,27.0,182.88,79.3786,187.96
1,0,6,15.0,14.0,172.0088,59.420552,166.9288
1,11,6,25.0,35.0,185.42000000000000,79.3786,185.42000000000000
1,4,6,25.0,23.0,182.88,79.83219200000000,182.88
1,6,1,20.0,36.0,172.72,65.77084000000000,185.42000000000000
0,7,5,13.0,20.0,157.48,61.23492,0.0
1,7,6,18.0,41.0,175.26,76.657048,180.34
0,8,3,14.0,20.0,160.02,58.96696,162.56
1,7,2,21.0,40.0,187.96,83.91452,187.96
1,5,3,12.0,36.0,152.4,78.925008,180.34
0,0,6,15.0,30.0,165.1,53.523856,162.56
1,7,5,14.0,31.0,175.26,74.84268,182.88
0,0,3,0.0,6.0,157.48,71.213944,149.86
1,5,6,14.0,29.0,173.99,67.131616,177.165
1,0,6,16.0,31.0,177.8,77.11064,436.88
1,9,6,15.0,35.0,177.8,77.11064,177.8
1,4,3,20.0,36.0,170.18,64.863656,172.72
1,5,3,17.0,33.0,172.72,63.50288,172.72
1,4,3,20.0,36.0,170.18,64.863656,172.72
1,0,6,17.0,32.0,180.34,73.935496,185.42000000000000
1,8,3,8.0,13.0,185.42000000000000,72.57472,187.96
1,0,6,16.0,31.0,177.8,77.11064,182.88
1,0,6,13.0,38.0,172.72,77.11064,172.72
1,3,6,9.0,20.0,187.96,89.357624,182.88
1,8,6,10.0,10.0,177.8,88.45044,182.88
1,6,6,15.0,41.0,175.26,74.389088,176.53
0,4,4,8.0,16.0,162.56,62.595696,167.64000000000000
0,9,6,18.0,35.0,157.48,53.070264,157.48
0,9,6,14.0,30.0,154.94,48.987936,157.48
1,0,6,11.0,18.0,185.42000000000000,76.203456,184.404
1,7,3,16.0,22.0,180.34,77.11064,182.88
1,7,3,16.0,22.0,180.34,77.11064,182.88
1,3,6,18.0,35.0,168.91,68.0388,172.72
1,7,1,18.0,20.0,180.34,68.0388,182.88
1,9,5,23.0,31.0,167.64000000000000,69.399576,172.72
1,4,1,13.0,22.0,175.26,58.96696,180.34
1,2,0,17.0,53.0,175.26,69.853168,170.18
1,3,0,11.0,35.0,180.34,80.739376,180.34
1,0,1,17.0,31.0,171.958,59.874144,170.18
1,3,0,23.0,40.0,168.91,65.77084000000000,170.434
1,5,2,17.0,50.0,182.88,74.84268,182.88
1,8,6,23.0,40.0,183.9976,79.83219200000000,186.00420000000000
1,7,3,20.0,60.0,170.942,63.956472,172.72
1,0,3,12.0,28.0,168.91,63.50288,172.72
1,6,4,12.0,19.0,180.34,74.84268,187.96
1,9,6,22.0,50.0,167.64000000000000,61.23492,162.56
0,7,6,12.0,18.0,170.18,61.23492,170.18
0,4,5,8.0,8.0,157.48,53.523856,157.48
1,5,6,16.0,34.0,170.18,62.142104000000000,168.91
1,7,6,18.0,35.0,161.29,61.23492,170.18
1,3,6,10.0,16.0,177.8,75.296272,181.61
1,5,3,17.0,31.0,172.72,70.30676,177.8
1,9,6,24.0,48.0,167.64000000000000,61.23492,170.18
1,7,6,18.0,35.0,161.29,61.23492,170.18
1,4,2,20.0,50.0,170.18,58.96696,170.18
0,1,1,12.0,19.0,154.305,46.719976,152.4
0,4,6,7.0,15.0,160.02,56.699,160.02
0,0,6,15.0,48.0,167.005,52.16308,169.54500000000000
1,9,3,32.0,48.0,185.42000000000000,75.296272,187.96
1,6,4,17.0,34.0,174.9806,72.57472,177.8
