sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
0,5,3,10.0,16.0,162.56,53.070264,165.735
0,5,3,10.0,16.0,162.56,53.070264,165.735
1,7,4,10.0,21.0,167.64000000000000,64.863656,167.64000000000000
1,7,4,10.0,21.0,167.64000000000000,64.863656,167.64000000000000
1,10,6,14.0,31.0,174.625,66.224432,179.705
1,10,6,14.0,31.0,174.625,66.224432,179.705
0,0,6,8.0,13.0,157.48,52.16308,157.48
1,10,6,23.0,43.0,172.72,66.678024,172.72
1,8,4,19.0,28.0,187.96,84.821704,198.12
1,7,6,50.0,90.0,187.96,81.64656,187.96
1,1,4,6.0,13.0,185.42000000000000,90.7184,185.42000000000000
1,6,6,18.0,35.0,180.34,67.131616,182.88
1,8,5,10.0,38.0,180.34,79.3786,438.15000000000000
0,0,5,2.0,4.0,175.26,59.420552,182.88
0,0,5,2.0,4.0,175.26,59.420552,182.88
0,0,5,12.0,37.0,166.37,55.791816,170.18
1,6,5,16.0,23.0,185.42000000000000,77.11064,185.42000000000000
1,4,6,16.0,17.0,181.61,72.57472,190.5
0,3,6,8.0,11.0,168.91,54.431040000000000,170.18
1,7,4,13.0,36.0,177.8,74.84268,182.88
1,0,3,25.0,29.0,185.42000000000000,71.213944,187.96
0,7,5,10.0,10.0,173.99,65.77084000000000,176.784
0,0,4,13.0,25.0,162.56,53.523856,168.91
1,0,4,7.0,20.0,177.8,77.11064,177.8
0,1,3,2.0,12.0,175.26,80.28578400000000,172.72
1,1,6,9.0,18.0,281.94,69.399576,439.42
0,0,5,9.0,11.0,175.26,64.410064,170.18
1,4,6,20.0,53.0,167.64000000000000,62.142104000000000,175.26
1,7,6,14.0,17.0,172.72,75.749864,172.72
1,6,2,16.0,19.0,172.72,61.23492,172.72
0,5,5,4.0,19.0,172.72,54.431040000000000,182.88
1,6,1,17.0,43.0,190.5,81.192968,190.5
0,7,5,11.0,10.0,167.64000000000000,58.059776,165.1
0,8,3,10.0,10.0,165.1,58.96696,170.18
1,11,6,24.0,43.0,175.26,60.781328,175.26
1,7,4,28.0,32.0,187.96,78.925008,193.04
1,9,3,21.0,29.0,172.72,67.585208,175.26
1,9,6,24.0,35.0,176.53,65.77084000000000,176.53
1,0,2,9.0,26.0,175.26,69.853168,180.34
0,5,2,10.0,2.0,177.8,70.30676,177.8
1,4,2,40.0,60.0,170.18,68.0388,170.18
1,9,3,30.0,50.0,181.61,63.50288,184.15
0,4,2,9.0,15.0,167.64000000000000,61.688512,162.56
1,4,2,16.0,51.0,170.18,66.678024,175.26
1,0,6,16.0,32.0,177.8,68.945984,182.88
0,7,3,6.0,12.0,165.1,48.987936,165.1
1,9,1,26.0,43.0,172.72,64.863656,203.2
1,10,5,19.0,37.0,177.8,71.667536,177.8
1,8,3,15.0,25.0,180.34,66.678024,185.42000000000000
0,3,3,9.0,20.0,172.72,63.50288,167.64000000000000
1,1,3,8.0,30.0,180.34,86.18248,182.88
0,0,6,4.0,22.0,177.8,74.389088,177.8
1,0,6,16.0,15.0,165.1,60.781328,170.18
1,0,6,25.0,39.0,177.8,76.657048,182.88
1,11,6,24.0,31.0,175.26,65.77084000000000,185.42000000000000
1,12,6,21.0,30.0,170.18,67.131616,177.8
0,5,4,11.0,29.0,158.75,47.627160000000000,156.845
1,7,6,15.0,29.0,182.88,77.11064,190.5
1,7,3,19.0,31.0,177.8,79.3786,185.42000000000000
1,7,4,24.0,70.0,170.18,57.606184,173.99
1,7,6,25.0,25.0,185.42000000000000,87.996848,2.54
1,4,2,17.0,40.0,180.34,74.84268,175.26
0,3,4,4.0,10.0,157.48,49.89512,160.02
1,5,3,14.0,24.0,177.8,58.96696,182.88
1,3,5,13.0,29.0,168.91,64.863656,175.26
1,8,3,25.0,25.0,172.72,64.410064,177.8
1,5,2,9.0,21.0,167.64000000000000,57.606184,165.1
1,6,4,10.0,25.0,190.5,77.11064,198.12
1,10,5,26.0,45.0,182.88,77.11064,190.5
1,0,2,9.0,16.0,184.023,73.935496,184.023
0,8,5,12.0,33.0,157.48,53.070264,154.94
1,0,4,23.0,60.0,179.07,72.57472,176.53
1,4,3,11.0,27.0,172.72,71.667536,175.26
0,1,6,11.0,18.0,157.48,58.96696,162.56
1,9,3,16.0,21.0,172.72,65.77084000000000,175.26
1,4,2,22.0,35.0,185.42000000000000,77.11064,190.5
1,0,6,16.0,25.0,177.8,71.667536,180.34
1,8,4,10.0,15.0,187.96,71.667536,191.77
1,4,5,7.0,25.0,182.88,77.11064,185.42000000000000
1,0,5,12.0,22.0,182.88,68.0388,187.96
1,5,4,16.0,15.0,187.96,86.636072,193.04
0,0,2,9.0,26.0,162.56,61.23492,163.83
1,3,2,17.0,30.0,168.91,58.96696,180.34
0,4,3,14.0,25.0,162.56,56.699,162.56
1,6,3,18.0,30.0,182.88,77.11064,182.88
1,6,6,15.0,27.0,170.18,64.863656,177.8
1,9,4,21.0,52.0,167.64000000000000,58.96696,162.56
1,10,6,13.0,20.0,177.8,65.317248,175.26
1,4,4,22.0,51.0,177.8,74.84268,177.8
0,4,4,12.0,20.0,167.64000000000000,61.23492,170.18
1,5,2,18.0,30.0,173.99,68.945984,172.72
1,3,2,10.0,30.0,179.07,79.83219200000000,184.912
1,4,3,24.0,37.0,173.355,64.863656,176.53
1,6,2,17.0,38.0,182.88,74.389088,190.5
1,0,3,14.0,26.0,187.96,79.3786,180.34
1,0,6,22.0,37.0,180.34,74.84268,180.34
1,8,3,19.0,24.0,195.58,75.749864,196.85
0,7,2,12.0,12.0,157.48,55.338224,157.48
1,2,3,8.0,23.0,180.34,77.564232,177.8
1,10,2,23.0,40.0,170.18,70.62427440000000,182.88
