sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm),BMI,APE,pullup_ratio,gender,top_or_bottom
1,7,2,15.0,40.0,173.0,77.0,178.0,25.727555214006482,1.0289017341040463,1.1948051948051948,Male,Bottom
1,2,2,11.0,24.0,180.0,81.0,180.0,25.0,1.0,1.1358024691358024,Male,Bottom
1,4,5,8.0,30.0,173.0,70.0,178.0,23.38868655818771,1.0289017341040463,1.1142857142857143,Male,Bottom
1,6,3,9.0,15.0,176.0,67.0,170.0,21.62964876033058,0.9659090909090909,1.1343283582089552,Male,Bottom
1,4,1,9.0,25.0,186.0,88.0,192.0,25.4364666435426,1.032258064516129,1.1022727272727273,Male,Bottom
1,6,3,7.0,30.0,178.0,81.6,178.0,25.754323948996337,1.0,1.0857843137254901,Male,Bottom
0,5,1,12.0,30.0,168.0,54.0,170.0,19.13265306122449,1.0119047619047619,1.2222222222222223,Female,Bottom
1,10,3,35.0,120.0,163.0,65.0,165.0,24.46460160337235,1.0122699386503067,1.5384615384615385,Male,Top
1,2,1,10.0,10.0,174.0,70.0,178.0,23.120623596247853,1.0229885057471264,1.1428571428571428,Male,Bottom
1,6,1,10.0,30.0,176.0,60.0,177.0,19.369834710743802,1.0056818181818181,1.1666666666666667,Male,Bottom
1,5,1,10.0,30.0,190.0,82.0,197.0,22.714681440443215,1.0368421052631578,1.1219512195121952,Male,Bottom
1,6,4,20.0,40.0,177.0,66.0,178.0,21.06674327300584,1.0056497175141244,1.303030303030303,Male,Bottom
1,9,6,12.0,20.0,179.0,69.0,178.0,21.534908398614277,0.994413407821229,1.173913043478261,Male,Top
0,2,2,5.0,11.0,165.1,53.0,165.1,19.44382586990026,1.0,1.0943396226415094,Female,Bottom
1,3,0,18.0,50.0,180.0,79.5,185.0,24.537037037037035,1.0277777777777777,1.2264150943396226,Male,Bottom
1,4,1,12.0,10.0,186.0,73.0,190.0,21.10070528384784,1.021505376344086,1.1643835616438356,Male,Bottom
1,5,1,12.0,70.0,183.0,100.0,185.0,29.860551225775623,1.010928961748634,1.12,Male,Bottom
1,8,2,13.0,22.0,167.0,60.0,179.0,21.513858510523864,1.0718562874251496,1.2166666666666666,Male,Top
1,5,1,32.0,286.0,173.0,86.0,173.0,28.734672057202044,1.0,1.372093023255814,Male,Bottom
1,10,6,25.0,25.0,182.0,72.0,182.0,21.736505252988767,1.0,1.3472222222222223,Male,Top
1,5,0,16.0,115.0,170.0,64.0,165.0,22.145328719723185,0.9705882352941176,1.25,Male,Bottom
1,5,2,10.0,20.0,182.0,76.0,180.0,22.944088878154812,0.989010989010989,1.131578947368421,Male,Bottom
1,3,0,18.0,40.0,178.0,70.3,178.0,22.187855068804442,1.0,1.256045519203414,Male,Bottom
1,3,1,10.0,50.0,183.0,80.0,187.0,23.888440980620498,1.0218579234972678,1.125,Male,Bottom
1,7,1,20.0,30.0,193.0,79.0,193.0,21.20862305028323,1.0,1.2531645569620253,Male,Bottom
1,4,1,15.0,40.0,174.0,65.0,176.0,21.469150482230148,1.0114942528735633,1.2307692307692308,Male,Bottom
1,7,1,20.0,15.0,186.0,72.5,190.0,20.956179905191348,1.021505376344086,1.2758620689655173,Male,Bottom
1,0,0,16.0,105.0,188.0,73.0,189.0,20.654142145767317,1.0053191489361701,1.2191780821917808,Male,
1,5,1,12.0,50.0,182.0,79.0,184.0,23.849776597029344,1.010989010989011,1.1518987341772151,Male,Bottom
1,6,0,45.0,112.0,180.0,86.0,177.0,26.54320987654321,0.9833333333333333,1.5232558139534884,Male,Bottom
1,5,6,20.0,25.0,174.0,75.0,180.0,24.772096710265558,1.0344827586206897,1.2666666666666666,Male,Bottom
1,7,1,12.0,30.0,178.0,59.0,183.0,18.621386188612547,1.0280898876404494,1.2033898305084745,Male,Bottom
1,1,0,12.0,33.0,175.0,73.0,183.0,23.836734693877553,1.0457142857142858,1.1643835616438356,Male,Bottom
1,12,6,25.0,40.0,178.0,70.0,195.0,22.093170054286073,1.095505617977528,1.3571428571428572,Male,Top
1,6,3,12.0,45.0,178.0,75.0,180.0,23.671253629592222,1.0112359550561798,1.16,Male,Bottom
0,3,2,1.0,0.0,165.0,65.0,163.0,23.875114784205696,0.9878787878787879,1.0153846153846153,Female,Bottom
1,6,2,15.0,35.0,174.0,73.0,179.0,24.111507464658473,1.028735632183908,1.2054794520547945,Male,Bottom
0,4,1,2.0,45.0,171.0,74.0,178.0,25.3069320474676,1.04093567251462,1.027027027027027,Female,Bottom
1,3,6,10.0,30.0,170.0,66.5,171.0,23.010380622837374,1.0058823529411764,1.150375939849624,Male,Bottom
1,5,1,8.0,5.0,188.0,87.0,200.0,24.615210502489816,1.0638297872340425,1.0919540229885059,Male,Bottom
1,7,1,12.0,30.0,180.0,74.0,180.0,22.839506172839506,1.0,1.162162162162162,Male,Bottom
1,6,1,15.0,50.0,160.0,52.0,163.0,20.312499999999996,1.01875,1.2884615384615385,Male,Bottom
1,9,6,25.0,25.0,177.0,71.0,178.0,22.66270867247598,1.0056497175141244,1.352112676056338,Male,Top
1,8,6,22.0,35.0,180.0,63.0,177.0,19.444444444444443,0.9833333333333333,1.3492063492063493,Male,Top
1,9,1,18.0,42.0,183.0,77.5,193.0,23.14192719997611,1.0546448087431695,1.232258064516129,Male,Top
1,6,2,20.0,50.0,182.0,78.0,190.0,23.54788069073783,1.043956043956044,1.2564102564102564,Male,Bottom
1,7,6,12.0,25.0,178.0,79.0,172.0,24.933720489837143,0.9662921348314607,1.1518987341772151,Male,Bottom
